Error message,Error Package,File
field `{field}` not found,pkg/applicationserver/io/packages/loradms/v1:field_not_found,data.go
field `{field}` has the wrong type `{type}`,pkg/applicationserver/io/packages/loradms/v1:invalid_field_type,data.go
no association available,pkg/applicationserver/io/packages/loradms/v1:no_association,package.go
TLV record payload is too small,pkg/applicationserver/io/packages/loradms/v1:tlv_record_too_small,tlv_encoding.go
uplink request failed,pkg/applicationserver/io/packages/loradms/v1:uplink_request_failed,package.go
invalid fieldmask,pkg/applicationserver/io/packages/redis:invalid_fieldmask,registry.go
invalid identifiers,pkg/applicationserver/io/packages/redis:invalid_identifiers,registry.go
read-only field `{field}`,pkg/applicationserver/io/packages/redis:read_only_field,registry.go
package `{name}` is not implemented,pkg/applicationserver/io/packages:package_not_implemented,registration.go
CA PEM data is invalid,pkg/applicationserver/io/pubsub/provider/mqtt:ca_pem_data,tls.go
configure HTTP headers,pkg/applicationserver/io/pubsub/provider/mqtt:configure_http_headers,provider.go
connection to MQTT server failed,pkg/applicationserver/io/pubsub/provider/mqtt:connect_failed,provider.go
client is nil,pkg/applicationserver/io/pubsub/provider/mqtt:nil_client,driver.go
publish to MQTT topic failed,pkg/applicationserver/io/pubsub/provider/mqtt:publish_failed,driver.go
subscribe to MQTT topic failed,pkg/applicationserver/io/pubsub/provider/mqtt:subscribe_failed,driver.go
unsubscribe from MQTT topic failed,pkg/applicationserver/io/pubsub/provider/mqtt:unsubscribe_failed,driver.go
provider `{provider_id}` already registered,pkg/applicationserver/io/pubsub/provider:provider_already_registered,provider.go
provider `{provider_id}` is not implemented,pkg/applicationserver/io/pubsub/provider:provider_not_implemented,provider.go
shutdown,pkg/applicationserver/io/pubsub/provider:shutdown,connection.go
invalid application UID `{application_uid}`,pkg/applicationserver/io/pubsub/redis:application_uid,registry.go
invalid fieldmask,pkg/applicationserver/io/pubsub/redis:invalid_fieldmask,registry.go
invalid identifiers,pkg/applicationserver/io/pubsub/redis:invalid_identifiers,registry.go
read-only field `{field}`,pkg/applicationserver/io/pubsub/redis:read_only_field,registry.go
format `{format}` not found,pkg/applicationserver/io/pubsub:format_not_found,format.go
integration `{pub_sub_id}` failed,pkg/applicationserver/io/pubsub:integration_failed,observability.go
invalid provider status `{status}`,pkg/applicationserver/io/pubsub:invalid_provider_status,providers.go
invalid provider type `{type}`,pkg/applicationserver/io/pubsub:invalid_provider_type,providers.go
provider `{provider}` is disabled,pkg/applicationserver/io/pubsub:provider_disabled,providers.go
provider `{provider}` is unknown,pkg/applicationserver/io/pubsub:unknown_provider,providers.go
invalid fieldmask,pkg/applicationserver/io/web/redis:invalid_fieldmask,registry.go
invalid identifiers,pkg/applicationserver/io/web/redis:invalid_identifiers,registry.go
read-only field `{field}`,pkg/applicationserver/io/web/redis:read_only_field,registry.go
decode body,pkg/applicationserver/io/web:decode_body,webhooks.go
fetching failed,pkg/applicationserver/io/web:fetch,templates.go
format `{format}` not found,pkg/applicationserver/io/web:format_not_found,format.go
could not parse file,pkg/applicationserver/io/web:parse_file,templates.go
the queue is full,pkg/applicationserver/io/web:queue_full,webhooks.go
read body,pkg/applicationserver/io/web:read_body,webhooks.go
request failed with status `{code}`,pkg/applicationserver/io/web:request,webhooks.go
template `{template_id}` not found,pkg/applicationserver/io/web:template_not_found,templates.go
webhook not found,pkg/applicationserver/io/web:webhook_not_found,webhooks.go
buffer is full,pkg/applicationserver/io:buffer_full,io.go
invalid application UID `{application_uid}`,pkg/applicationserver/redis:application_uid,registry.go
duplicate identifiers,pkg/applicationserver/redis:duplicate_identifiers,registry.go
invalid fieldmask,pkg/applicationserver/redis:invalid_fieldmask,registry.go
invalid identifiers,pkg/applicationserver/redis:invalid_identifiers,registry.go
read-only field `{field}`,pkg/applicationserver/redis:read_only_field,registry.go
failed to get AppSKey,pkg/applicationserver:app_s_key,applicationserver.go
device `{device_uid}` not found,pkg/applicationserver:device_not_found,applicationserver.go
identifiers already exists,pkg/applicationserver:duplicate_identifiers,registry.go
invalid field mask,pkg/applicationserver:field_mask,grpc_deviceregistry.go
invalid value of field `{field}`,pkg/applicationserver:field_value,registry.go
formatter `{formatter}` is not configured,pkg/applicationserver:formatter_not_configured,payload.go
Invalid TTL `{ttl}`,pkg/applicationserver:invalid_ttl,config.go
Join Server unavailable for JoinEUI `{join_eui}`,pkg/applicationserver:join_server_unavailable,applicationserver.go
linking is not implemented,pkg/applicationserver:linking_not_implemented,grpc.go
failed to start frontend listener `{protocol}` on address `{address}`,pkg/applicationserver:listen_frontend,applicationserver.go
no AppSKey,pkg/applicationserver:no_app_s_key,applicationserver.go
no device session; check device activation,pkg/applicationserver:no_device_session,applicationserver.go
no payload,pkg/applicationserver:no_payload,payload.go
payload crypto is disabled,pkg/applicationserver:payload_crypto_disabled,applicationserver.go
unknown session,pkg/applicationserver:unknown_session,applicationserver.go
invalid webhooks registry,pkg/applicationserver:webhooks_registry,config.go
invalid webhooks target `{target}`,pkg/applicationserver:webhooks_target,config.go
cluster auth type `{auth_type}` is not supported,pkg/auth/cluster:auth_type,cluster.go
invalid cluster key,pkg/auth/cluster:cluster_key,cluster.go
no cluster key auth specified,pkg/auth/cluster:no_cluster_key,cluster.go
password hash has invalid PBKDF2 format,pkg/auth/pbkdf2:invalid_pbkdf2_format,pbkdf2.go
could not determine number of iterations from `{iterations}`,pkg/auth/pbkdf2:pbkdf2_iterations,pbkdf2.go
could not determine key length,pkg/auth/pbkdf2:pbkdf2_key_length,pbkdf2.go
algorithm `{alg}` unknown,pkg/auth/pbkdf2:unknown_algorithm,algorithm.go
password salt can not have zero length,pkg/auth/pbkdf2:zero_length_salt,pbkdf2.go
insufficient rights for application `{uid}`,pkg/auth/rights:insufficient_application_rights,require.go
insufficient rights for client `{uid}`,pkg/auth/rights:insufficient_client_rights,require.go
insufficient rights for gateway `{uid}`,pkg/auth/rights:insufficient_gateway_rights,require.go
insufficient rights for organization `{uid}`,pkg/auth/rights:insufficient_organization_rights,require.go
insufficient rights for user `{uid}`,pkg/auth/rights:insufficient_user_rights,require.go
no rights for application `{uid}`,pkg/auth/rights:no_application_rights,require.go
no rights for client `{uid}`,pkg/auth/rights:no_client_rights,require.go
no fetcher found in context,pkg/auth/rights:no_fetcher,fetcher.go
no rights for gateway `{uid}`,pkg/auth/rights:no_gateway_rights,require.go
no connection to Identity Server,pkg/auth/rights:no_identity_server_conn,fetcher.go
no rights for organization `{uid}`,pkg/auth/rights:no_organization_rights,require.go
no rights for user `{uid}`,pkg/auth/rights:no_user_rights,require.go
invalid hash,pkg/auth:invalid_hash,password.go
invalid token,pkg/auth:token,auth.go
unknown hashing method `{method}`,pkg/auth:unknown_hashing_method,password.go
band `{id}` not found,pkg/band:band_not_found,errors.go
ChMaskCntl `{chmaskcntl}` unsupported,pkg/band:chmaskcntl_unsupported,errors.go
data rate index must be lower or equal to {max},pkg/band:data_rate_index_too_high,errors.go
data rate offset must be lower or equal to {max},pkg/band:data_rate_offset_too_high,errors.go
invalid number of channels defined,pkg/band:invalid_channel_count,errors.go
LoRaWAN Regional Parameters version not supported; supported versions: {supported},pkg/band:lorawan_version_unsupported,errors.go
unknown LoRaWAN PHY version `{version}`,pkg/band:unknown_phy_version,errors.go
length of `{field}` (`{length}`) exceeds maximum `{maximum}`,pkg/basicstation/cups:field_length,messages.go
Invalid CUPS URI `{uri}`,pkg/basicstation/cups:invalid_cups_uri,update_info.go
invalid provisioning token,pkg/basicstation/cups:invalid_token,update_info.go
LNS credentials not found for gateway `{gateway_uid}`,pkg/basicstation/cups:lns_credentials_not_found,update_info.go
no trusted certificate found,pkg/basicstation/cups:no_trust,server.go
failed to fetch server trust for address `{address}`,pkg/basicstation/cups:server_trust,update_info.go
Target CUPS credentials not found for gateway `{gateway_uid}`,pkg/basicstation/cups:target_cups_credentials_not_found,update_info.go
call was not authenticated,pkg/basicstation/cups:unauthenticated,update_info.go
the private key type `{type}` is not supported,pkg/basicstation/cups:unsupported_private_key,messages.go
invalid format,pkg/basicstation:format,eui.go
invalid blob store configuration,pkg/blob:invalid_config,bucket.go
invalid cluster key,pkg/cluster:cluster_key,cluster.go
"invalid key length %d, must be 16, 24 or 32 bytes",pkg/cluster:key_length,cluster.go
connection to peer `{name}` on `{address}` failed,pkg/cluster:peer_connection,cluster.go
peer target address is empty,pkg/cluster:peer_empty_target,cluster.go
{cluster_role} cluster peer unavailable,pkg/cluster:peer_unavailable,cluster.go
could not listen on `{endpoint}` address,pkg/component:listen_endpoint,listeners.go
could not create `{protocol}` listener,pkg/component:listener,listeners.go
task recovered,pkg/component:task_recovered,tasks.go
ACME already initialized,pkg/config/tlsconfig:acme_already_initialized,config.go
missing ACME storage directory,pkg/config/tlsconfig:missing_acme_dir,config.go
missing ACME endpoint,pkg/config/tlsconfig:missing_acme_endpoint,config.go
invalid TLS configuration source `{source}`,pkg/config/tlsconfig:tls_config_source_invalid,config.go
invalid TLS key vault ID,pkg/config/tlsconfig:tls_key_vault_id,config.go
empty TLS source,pkg/config/tlsconfig:tls_source_empty,config.go
invalid format `{input}`,pkg/config:format,hooks.go
missing blob store configuration,pkg/config:missing_blob_config,shared.go
unknown blob store provider `{provider}`,pkg/config:unknown_blob_provider,shared.go
no AppKey specified,pkg/crypto/cryptoservices:no_app_key,mem.go
no DevEUI specified,pkg/crypto/cryptoservices:no_dev_eui,mem.go
no JoinEUI specified,pkg/crypto/cryptoservices:no_join_eui,mem.go
no NwkKey specified,pkg/crypto/cryptoservices:no_nwk_key,mem.go
certificate with ID `{id}` not found,pkg/crypto/cryptoutil:certificate_not_found,cryptoutil.go
invalid slice length,pkg/crypto/cryptoutil:invalid_length,cryptoutil.go
KEK with label `{label}` not found,pkg/crypto/cryptoutil:kek_not_found,cryptoutil.go
key with ID `{id}` not found,pkg/crypto/cryptoutil:key_not_found,cryptoutil.go
corrupt key data,pkg/crypto:corrupt_key,keywrap.go
"invalid join-accept message size of {size} bytes, expected 16 or 32 bytes",pkg/crypto:join_accept_message_size,errors.go
"invalid JoinAccept payload size of {size} bytes, expected 13 or 29 bytes",pkg/crypto:join_accept_payload_size,errors.go
"invalid join-request payload size of {size} bytes, expected 19 bytes",pkg/crypto:join_request_payload_size,errors.go
"invalid key length size of {size} bytes, expected 16, 24 or 32 bytes",pkg/crypto:key_length_size,errors.go
malformed cipher text,pkg/crypto:malformed_cipher_text,encryption.go
"ping period must be a power of 2 between 32 and 4096, got '{value}'",pkg/crypto:ping_period,ping_slot.go
"invalid rejoin-request type 0 or 2 size of {size} bytes, expected 15 bytes",pkg/crypto:rejoin_request_0_2_size,errors.go
"invalid rejoin-request type 1 size of {size} bytes, expected 20 bytes",pkg/crypto:rejoin_request_1_size,errors.go
"invalid rejoin-request size of {size} bytes, expected 15 or 20 bytes",pkg/crypto:rejoin_request_size,errors.go
cannot open index,pkg/devicerepository/store/bleve:cannot_open_index,bleve.go
corrupted index file,pkg/devicerepository/store/bleve:corrupted_index,store.go
band `{band_id}` not found,pkg/devicerepository/store/remote:band_not_found,remote.go
brand `{brand_id}` not found,pkg/devicerepository/store/remote:brand_not_found,remote.go
firmware version `{firmware_version}` for model `{brand_id}/{model_id}` not found,pkg/devicerepository/store/remote:firmware_version_not_found,remote.go
model `{brand_id}/{model_id}` not found,pkg/devicerepository/store/remote:model_not_found,remote.go
no codec defined for firmware version `{firmware_version}` and band `{band_id}`,pkg/devicerepository/store/remote:no_codec,remote.go
device does not have a profile for band `{band_id}`,pkg/devicerepository/store/remote:no_profile_for_band,remote.go
unknown Regional Parameters version `{phy_version}`,pkg/devicerepository/store/remote:regional_parameters_version,schema.go
not found,pkg/devicerepository/store:not_found,noop.go
brand `{brand_id}` not found,pkg/devicerepository:brand_not_found,grpc.go
model `{brand_id}/{model_id}` not found,pkg/devicerepository:model_not_found,grpc.go
unknown source `{source}`,pkg/devicerepository:unknown_source,config.go
converter `{id}` not found,pkg/devicetemplateconverter:converter,devicetemplateconverter.go
invalid Microchip certificate Subject Alternate Name,pkg/devicetemplates:microchip_certificate_san,microchip.go
invalid Microchip data,pkg/devicetemplates:microchip_data,microchip.go
no Microchip certificate found,pkg/devicetemplates:microchip_no_certificate,microchip.go
unknown Microchip public key ID `{id}`,pkg/devicetemplates:microchip_public_key,microchip.go
unknown Microchip DevEUI,pkg/devicetemplates:microchip_unknown_dev_eui,microchip.go
email was not sent,pkg/email/sendgrid:email_not_sent,sendgrid.go
could not decode `{lorawan_field}`,pkg/encoding/lorawan:decode,errors.go
could not decode MAC command with CID `{cid}`,pkg/encoding/lorawan:decoding_mac_command,mac.go
could not encode `{lorawan_field}`,pkg/encoding/lorawan:encode,errors.go
